Atomic Number,Abbreviation,Atomic Volume,Atomic Weight,Boiling Temperature,Covalent Radius,Density,Electron Affinity,Electronegativity,Fusion Enthalpy,GS Bandgap,GS Energy,Heat Capacity (Mass),Heat Capacity (Molar),First Ionization Energy,Second Ionization Energy,Third Ionization Energy,Fourth Ionization Energy,Fifth Ionization Energy,Sixth Ionization Energy,Seventh Ionization Energy,Eighth Ionization Energy,IsAlkali,IsDBlock,IsFBlock,IsMetal,IsMetalloid,IsNonmetal,Melting Temperature,Number d-shell Valence Electrons,Number f-shell Valence Electrons,Number p-shell Valence Electrons,Number s-shell Valence Electrons,Number Unfilled Electrons,Number Valence Electrons,Polarizability,Phi,Conductivity
16,S,27.16654579,32.065,717.72,105,1960,2.00E+02,2.58,1.721,2.202,-4.097216719,0.708,22.7,10.36001,23.33788,34.79,47.222,72.5945,88.053,280.948,328.75,0,0,0,0,0,1,388.36,0,0,4,2,2,6,2.9,,
17,Cl,18317.50704,35.453,238.96,102,3.214,349,3.16,3.2,2.493,-1.784433755,0.479,33.949,12.96763,23.8136,39.61,53.4652,67.8,97.03,114.1958,348.28,0,0,0,0,0,1,171.6,0,0,5,2,1,7,2.18,,
18,Ar,37184.28542,39.948,87.2,106,1.784,0,,1.18,9.26,0.05854104,0.52,20.786,15.75961,27.62966,40.74,59.81,75.02,91.009,124.323,143.46,0,0,0,0,0,1,83.8,0,0,6,2,0,8,1.6411,,
19,K,75.84786468,39.0983,1032,203,856,48.4,0.82,2.335,0,-1.097539713,0.757,29.6,4.3406633,31.63,45.806,60.91,82.66,99.4,117.56,154.88,1,0,0,1,0,0,336.53,0,0,0,1,1,1,43.23,2.25,102.5
20,Ca,42.9371873,40.078,1757,176,1550,2.37,1,8.54,0,-1.948329565,0.647,25.929,6.11316,11.87172,50.9131,67.27,84.5,108.78,127.2,147.24,1,0,0,1,0,0,1115,0,0,0,2,0,2,25.73333333,2.55,201
21,Sc,25.00931092,44.955912,3103,170,2985,18.1,1.36,14.1,0,-6.28551309,0.568,25.52,6.56149,12.79977,24.75666,73.4894,91.65,110.68,138,158.1,0,1,0,1,0,0,1814,1,0,0,2,9,3,17.8,3.25,15.8
22,Ti,17.63631716,47.867,3560,160,4507,7.6,1.54,14.15,0,-7.77522712,0.524,25.06,6.82812,13.5755,27.4917,43.2672,99.3,119.53,140.8,170.4,0,1,0,1,0,0,1941,2,0,0,2,8,4,14.6,3.8,16.8
23,V,13.84489822,50.9415,3680,153,6110,50.6,1.63,21.5,0,-8.93926069,0.489,24.89,6.74619,14.618,29.311,46.709,65.2817,128.13,150.6,173.4,0,1,0,1,0,0,2183,3,0,0,2,7,5,12.4,4.25,30.7
24,Cr,12.09293747,51.9961,2944,139,7140,64.3,1.66,21,0,-9.50571654,0.449,23.35,6.76651,16.4857,30.96,49.16,69.46,90.6349,160.18,184.7,0,1,0,1,0,0,2180,5,0,0,1,6,6,11.6,4.65,96.5
25,Mn,12.21270447,54.938045,2334,139,7470,0,1.55,12.91,0,-9.02056525,0.479,26.32,7.43402,15.64,33.668,51.2,72.4,95.6,119.203,194.5,0,1,0,1,0,0,1519,5,0,0,2,5,7,9.4,4.45,7.81
26,Fe,11.77736497,55.845,3134,132,7874,15.7,1.83,13.81,0,-8.28548436,0.449,25.1,7.9024,16.1877,30.652,54.8,75,99.1,124.98,151.06,0,1,0,1,0,0,1811,6,0,0,2,4,8,8.4,4.93,80.4
27,Co,10.99586068,58.933195,3200,126,8900,63.7,1.88,16.2,0,-7.080389145,0.421,24.81,7.88101,17.084,33.5,51.3,79.5,102,128.9,157.8,0,1,0,1,0,0,1768,7,0,0,2,3,9,7.5,5.1,100
28,Ni,10.94128444,58.6934,3186,124,8908,112,1.91,17.48,0,-5.54632457,0.444,26.07,7.6398,18.16884,35.19,54.9,76.06,108,133,162,0,1,0,1,0,0,1728,8,0,0,2,2,10,6.8,5.2,90.9
29,Cu,11.82994193,63.546,3200,132,8920,118.4,1.9,13.6,0,-3.68065482,0.385,24.44,7.72638,20.2924,36.841,57.38,79.8,103,139,166,0,1,0,1,0,0,1357.77,10,0,0,1,1,11,6.15,4.45,401
30,Zn,15.20568373,65.38,1180,122,7140,0,1.65,7.068,0,-1.239999915,0.388,25.39,9.394199,17.96439,39.723,59.4,82.6,108,134,174,0,1,0,1,0,0,692.68,10,0,0,2,0,12,-5.816666667,4.1,116
31,Ga,19.61051348,69.723,2477,122,5904,28.9,1.81,5.585,0,-3.012255303,0.373,26.03,5.999301,20.51515,30.7258,63.241,86.01,112.7,140.9,169.9,0,0,0,1,0,0,302.91,10,0,1,2,5,13,8.12,4.1,
32,Ge,22.66097638,72.64,3093,120,5323,119,2.01,36.94,0.383,-4.616039545,0.32,23.222,7.89943,15.93461,34.2241,45.7131,93.5,,,,0,0,0,0,1,0,1211.4,10,0,2,2,4,14,5.84,4.55,
33,As,21.72396574,74.9216,887,119,5727,78,2.18,24.44,0,-4.650889115,0.329,24.64,9.7886,18.5892,28.351,50.13,62.63,127.6,,,0,0,0,1,1,0,1090,10,0,3,2,3,15,4.31,4.8,
34,Se,27.20880463,78.96,958,120,4819,195,2.55,6.69,0.799,-3.47079191,0.321,25.363,9.75239,21.19,30.8204,42.945,68.3,81.7,155.4,,0,0,0,0,0,1,494,10,0,4,2,2,16,3.77,,
35,Br,42.52782532,79.904,332,120,3120,324.6,2.96,5.285,1.457,-1.583025338,0.474,75.69,11.8138,21.591,36,47.3,59.7,88.6,103,192.8,0,0,0,0,0,1,265.8,10,0,5,2,1,17,3.05,,
36,Kr,37107.49474,83.798,119.78,116,3.75,0,3,1.164,7.535,0.08753524,0.248,20.786,13.99961,24.35984,36.95,52.5,64.7,78.5,111,125.802,0,0,0,0,0,1,115.79,10,0,6,2,0,18,2.4844,,
37,Rb,92.64095184,85.4678,961,220,1532,46.9,0.82,2.19,0,-0.963335025,0.363,31.06,4.177128,27.2895,40,52.6,71,84.4,99.2,136,1,0,0,1,0,0,312.46,0,0,0,1,1,1,47.27,2.1,
38,Sr,55.32313078,87.62,1655,195,2630,5.03,0.95,7.43,0,-1.6828136,0.306,26.79,5.69485,11.0301,42.89,57,71.6,90.8,106,122.3,1,0,0,1,0,0,1050,0,0,0,2,0,2,25.55,2.4,35.4
39,Y,33.01321288,88.90585,3618,190,4472,29.6,1.22,11.39,0,-6.464599775,0.298,26.53,6.2173,12.224,20.52,60.597,77,93,116,129,0,1,0,1,0,0,1799,1,0,0,2,9,3,22.7,3.2,17.2
40,Zr,23.26594327,91.224,4682,175,6511,41.1,1.33,21,0,-8.545958555,0.278,25.36,6.6339,13.1,22.99,34.34,80.348,,,,0,1,0,1,0,0,2128,2,0,0,2,8,4,17.9,3.45,22.7
41,Nb,18.00213298,92.90638,5017,164,8570,86.1,1.6,30,0,-10.09332153,0.265,24.6,6.75885,14,25.04,38.3,50.55,102.057,125,,0,1,0,1,0,0,2750,4,0,0,1,7,5,15.7,4.05,53.7
42,Mo,15.50088069,95.96,4912,154,10280,71.9,2.16,37.48,0,-10.84610777,0.251,24.06,7.09243,16.16,27.13,46.4,54.49,68.8276,125.664,143.6,0,1,0,1,0,0,2896,5,0,0,1,6,6,12.8,4.65,138
43,Tc,14.15101151,98,4538,147,11500,53,1.9,33.29,0,-10.3551512,,,7.28,15.26,29.54,,,,,,0,1,0,1,0,0,2430,5,0,0,2,5,7,11.4,5.3,
44,Ru,13.56787441,101.07,4423,146,12370,101.3,2.2,38.59,0,-9.19463357,0.238,24.06,7.3605,16.76,28.47,,,,,,0,1,0,1,0,0,2607,7,0,0,1,4,8,9.6,5.4,117
45,Rh,13.72550981,102.9055,3968,142,12450,109.7,2.28,26.59,0,-7.25364552,0.243,24.98,7.4589,18.08,31.06,,,,,,0,1,0,1,0,0,2237,8,0,0,1,3,9,8.6,5.4,150
46,Pd,14.69838627,106.42,3236,139,12023,53.7,2.2,16.74,0,-5.13777457,0.244,25.98,8.3369,19.43,32.93,,,,,,0,1,0,1,0,0,1828.05,10,0,0,0,0,10,4.8,5.45,71.8
47,Ag,17.07564795,107.8682,2435,145,10490,125.6,1.93,11.3,0,-2.76539356,0.235,25.35,7.57623,21.47746,34.83,,,,,,0,1,0,1,0,0,1234.93,10,0,0,1,1,11,6.99,4.35,429
48,Cd,21.58002546,112.411,1040,144,8650,0,1.69,6.21,0,-0.812174225,0.231,26.02,8.99382,16.90831,37.48,,,,,,0,1,0,1,0,0,594.22,10,0,0,2,0,12,7.32,4.05,96.9
49,In,26.08265816,114.818,2345,142,7310,28.9,1.78,3.291,0,-2.66680196,0.233,26.74,5.78636,18.8703,28.03,54,,,,,0,0,0,1,0,0,429.75,10,0,1,2,5,13,9.65,3.9,81.8
50,Sn,26.96678526,118.71,2875,139,7310,107.3,1.96,7.15,0,-3.96104709,0.227,26.99,7.34392,14.6322,30.5026,40.73502,72.28,,,,0,0,0,1,0,0,505.08,10,0,2,2,4,14,7.06,4.15,66.8
51,Sb,30.19142344,121.76,1860,139,6697,103.2,2.05,19.79,0,-4.11736234,0.207,25.23,8.60839,16.63,25.3,44.2,56,108,,,0,0,0,1,1,0,903.78,10,0,3,2,3,15,6.6,4.4,
52,Te,33.95668872,127.6,1261,138,6240,190.2,2.1,17.38,0.464,-3.141302507,0.202,25.73,9.0096,18.6,27.96,37.41,58.75,70.7,137,,0,0,0,0,1,0,722.66,10,0,4,2,2,16,5.5,,
53,I,42.65885747,126.90447,457.3,139,4940,295.2,2.66,7.76,1.062,-1.505402418,0.214,54.43,10.45126,19.1313,33,,,,,,0,0,0,0,0,1,386.85,10,0,5,2,1,17,5.025,,
54,Xe,36952.92402,131.293,165,140,5.9,0,2.6,2.27,6.456,0.04873128,0.158,20.786,12.12984,20.975,32.123,,,,,,0,0,0,0,0,1,161.3,10,0,6,2,0,18,4.044,,
55,Cs,117.4560158,132.9054519,944,244,1879,45.5,0.79,2.09,0,-0.85462646,0.242,32.21,3.893905,23.15744,,,,,,,1,0,0,1,0,0,301.59,0,0,0,1,1,1,59.42,1.95,0
56,Ba,64.96928167,137.327,2143,215,3510,13.95,0.89,7.12,0,-1.92352226,0.204,28.07,5.211664,10.00383,,,,,,,1,0,0,1,0,0,1000,0,0,0,2,0,2,39.7,2.32,
57,La,37.53064612,138.90547,3737,207,6146,48,1.1,6.2,0,-4.927546185,0.195,27.11,5.5769,11.059,19.1773,49.95,61.6,,,,0,0,1,1,0,0,1193,1,0,0,2,9,3,31.1,3.17,
58,Ce,34.78450148,140.116,3633,204,6689,50,1.12,5.46,0,-4.77656965,0.192,26.94,5.5387,10.85,20.198,36.758,65.55,77.6,,,0,0,1,1,0,0,1071,1,1,0,2,22,4,29.6,3.18,
59,Pr,35.23917573,140.90765,3563,203,6640,50,1.13,6.89,0,-4.77382996,0.193,27.2,5.473,10.55,21.624,38.98,57.53,,,,0,0,1,1,0,0,1204,0,3,0,2,11,5,28.2,3.19,
60,Nd,34.16905488,144.242,3373,201,7010,50,1.14,7.14,0,-4.76235134,0.19,27.45,5.525,10.72,22.1,40.4,,,,,0,0,1,1,0,0,1294,0,4,0,2,10,6,31.4,3.19,
61,Pm,33.14754856,145,3273,199,7264,50,1.155,,0,-4.744621343,,,5.582,10.9,22.3,41.1,,,,,0,0,1,1,0,0,1373,0,5,0,2,9,7,30.1,3.19,
62,Sm,33.95681901,150.36,2076,198,7353,50,1.17,8.62,0,-4.713379635,0.196,29.54,5.6437,11.07,23.4,41.4,,,,,0,0,1,1,0,0,1345,0,6,0,2,8,8,28.8,3.2,
63,Eu,48.12129236,151.964,1800,198,5244,50,1.185,9.21,0,-1.82958684,0.182,27.66,5.67038,11.25,24.92,42.7,,,,,0,0,1,1,0,0,1095,0,7,0,2,7,9,27.7,2.5,
64,Gd,33.04972431,157.25,3523,196,7901,50,1.2,9.67,0,-4.65442131,0.235,37.03,6.1498,12.09,20.63,44,,,,,0,0,1,1,0,0,1586,1,7,0,2,16,10,23.5,3.2,
65,Tb,32.10949276,158.92535,3503,194,8219,50,1.21,10.15,0,-4.629217697,0.182,28.91,5.8638,11.52,21.91,39.79,,,,,0,0,1,1,0,0,1629,0,9,0,2,5,11,25.5,3.21,
66,Dy,31.55699985,162.5,2840,192,8551,50,1.22,11.35,0,-4.601554453,0.173,28.16,5.9389,11.67,22.8,41.47,,,,,0,0,1,1,0,0,1685,0,10,0,2,4,12,24.5,3.21,
67,Ho,31.14037991,164.93032,2973,192,8795,50,1.23,11.76,0,-4.577416877,0.165,27.15,6.0215,11.8,22.84,42.5,,,,,0,0,1,1,0,0,1747,0,11,0,2,3,13,23.6,3.22,
68,Er,30.63606837,167.259,3141,189,9066,50,1.24,19.9,0,-4.563633745,0.168,28.12,6.1077,11.93,22.74,42.7,,,,,0,0,1,1,0,0,1770,0,12,0,2,2,14,22.7,3.22,
69,Tm,30.09638585,168.93421,2223,190,9321,50,1.25,16.84,0,-4.47387849,0.16,27.03,6.18431,12.05,23.68,42.7,,,,,0,0,1,1,0,0,1818,0,13,0,2,1,15,21.8,3.22,
70,Yb,43.73967194,173.054,1469,187,6570,50,1.26,7.66,0,-1.47410408,0.155,26.74,6.25416,12.176,25.05,43.56,,,,,0,0,1,1,0,0,1092,0,14,0,2,0,16,20.9,2.58,
71,Lu,29.52403191,174.9668,3675,187,9841,50,1.27,18.65,0,-4.52300002,0.154,26.86,5.42586,13.9,20.9594,45.25,66.8,,,,0,1,1,1,0,0,1936,1,14,0,2,9,17,21.9,3.22,
72,Hf,22.26871119,178.49,4876,175,13310,0,1.3,27.2,0,-9.954299335,0.144,25.73,6.82507,15,23.3,33.33,,,,,0,1,0,1,0,0,2506,2,14,0,2,8,18,16.2,3.6,23
73,Ta,18.04672956,180.94788,5731,170,16650,31,1.5,36.57,0,-11.85139954,0.14,25.36,7.54957,,,,,,,,0,1,0,1,0,0,3290,3,14,0,2,7,19,13.1,4.05,57.5
74,W,15.85873442,183.84,5828,162,19250,78.6,2.36,52.31,0,-12.95880062,0.132,24.27,7.86403,16.1,,,,,,,0,1,0,1,0,0,3695,4,14,0,2,6,20,11.1,4.8,0
75,Re,14.71033423,186.207,5869,151,21020,14.5,1.9,34.08,0,-12.41702777,0.137,25.48,7.83352,,,,,,,,0,1,0,1,0,0,3459,5,14,0,2,5,21,9.7,5.2,48
76,Os,13.98369767,190.23,5285,144,22590,106.1,2.2,57.85,0,-11.22070399,0.13,24.7,8.43823,,,,,,,,0,1,0,1,0,0,3306,6,14,0,2,4,22,8.5,5.4,87.6
77,Ir,14.14855047,192.217,4701,141,22560,151,2.2,41.12,0,-8.84851145,0.131,25.1,8.96702,,,,,,,,0,1,0,1,0,0,2739,7,14,0,2,3,23,7.6,5.55,147
78,Pt,15.36046351,195.084,4098,136,21090,205.3,2.28,22.175,0,-6.02850968,0.133,25.86,8.9588,18.563,,,,,,,0,1,0,1,0,0,2041.4,9,14,0,1,2,24,6.5,5.65,71.6
79,Au,16.94706362,196.966569,3129,136,19300,222.8,2.54,12.55,0,-3.20969261,0.129,25.418,9.22553,20.2,,,,,,,0,1,0,1,0,0,1337.33,10,14,0,1,1,25,5.8,5.15,318
80,Hg,24.61174207,200.59,629.73,132,13534,0,2,2.295,0,-0.250105562,0.14,27.983,10.4375,18.7568,34.2,,,,,,0,1,0,1,0,0,234.32,10,14,0,2,0,26,5.36,4.2,
81,Tl,28.64087656,204.3833,1746,145,11850,19.2,1.62,4.142,0,-2.27267753,0.129,26.32,6.108194,20.4283,29.83,,,,,,0,0,0,1,0,0,577,10,14,1,2,5,27,7.55,3.9,
82,Pb,30.34142301,207.2,2022,146,11340,35.1,2.33,4.774,0,-3.62902961,0.13,24.7,7.41663,15.03248,31.9373,42.32,68.8,,,,0,0,0,1,0,0,600.61,10,14,2,2,4,28,6.995,4.1,35.3
83,Bi,35.48345908,208.9804,1837,148,9780,91.2,2.02,11.106,0,-3.9736944,0.122,25.52,7.2855,16.703,25.56,45.3,56,88.3,,,0,0,0,1,0,0,544.4,10,14,3,2,3,29,0.4,4.15,7.89
84,Po,37.74040639,209,1235,140,9196,183.3,2,10,0,-4.039348349,,,8.414,,,,,,,,0,0,0,1,1,0,527,10,14,4,2,2,30,6.8,,
85,At,,210,,150,,270.1,2.2,,0,-4.039348349,,,,,,,,,,,0,0,0,0,0,1,575,10,14,5,2,1,31,6,,
86,Rn,37887.79955,222,211.3,150,9.73,0,,,0,-4.039348349,0.094,20.786,10.7485,,,,,,,,0,0,0,0,0,1,202,10,14,6,2,0,32,5.3,,
87,Fr,,223,,260,,,0.7,,0,-4.039348349,,,4.072741,,,,,,,,1,0,0,1,0,0,,0,0,0,1,1,1,47.85,,
88,Ra,75.05812023,226,2010,221,5000,,0.9,7.7,0,-4.039348349,,,5.278423,10.14715,,,,,,,1,0,0,1,0,0,973,0,0,0,2,0,2,38.3,,
89,Ac,37.4330863,227,3473,215,10070,,1.1,12,0,-4.105002298,0.12,27.2,5.17,11.75,,,,,,,0,0,1,1,0,0,1323,1,0,0,2,9,3,32.1,,
90,Th,32.86568321,232.03806,5093,206,11724,,1.3,13.81,0,-7.41254306,0.118,27.32,6.3067,11.9,20,28.8,,,,,0,0,1,1,0,0,2023,2,0,0,2,8,4,32.1,3.3,
91,Pa,24.96116063,231.03586,4273,200,15370,,1.5,12.34,0,-9.49741247,,,5.89,,,,,,,,0,0,1,1,0,0,1845,1,2,0,2,21,5,25.4,,
92,U,20.7488474,238.02891,4200,196,19050,,1.38,9.14,0,-11.29233996,0.116,27.665,6.1941,10.6,,,,,,,0,0,1,1,0,0,1408,1,3,0,2,20,6,24.9,3.9,
93,Np,19.24483901,237,4273,190,20450,,1.36,3.2,0,-12.94031436,,,6.2657,,,,,,,,0,0,1,1,0,0,917,1,4,0,2,19,7,24.8,,
94,Pu,20.44716406,244,3503,187,19816,,1.28,2.824,0,-14.32663431,,,6.026,11.2,,,,,,,0,0,1,1,0,0,913,0,6,0,2,8,8,24.5,3.8,
95,Am,29.51868508,243,2284,180,13670,,1.3,14.39,0,-14.32663431,,,5.9738,,,,,,,,0,0,1,1,0,0,1449,0,7,0,2,7,9,23.3,,
96,Cm,30.35993609,247,3383,169,13510,,1.3,14.64,0,-14.32663431,,,5.9914,,,,,,,,0,0,1,1,0,0,1618,1,7,0,2,16,10,23,,
97,Bk,27.75120004,247,,,14780,,1.3,,0,-14.32663431,,,6.1979,,,,,,,,0,0,1,1,0,0,1323,0,9,0,2,5,11,22.7,,
98,Cf,27.60298332,251,,,15100,,1.3,,0,-14.32663431,,,6.2817,11.8,,,,,,,0,0,1,1,0,0,1173,0,10,0,2,4,12,20.5,,
99,Es,,252,,,,,1.3,9.41,0,-14.32663431,,,6.42,12,,,,,,,0,0,1,1,0,0,1133,0,11,0,2,3,13,19.7,,
100,Fm,,257,,,,,1.3,,0,-14.32663431,,,6.5,,,,,,,,0,0,1,1,0,0,1800,0,12,0,2,2,14,23.8,,
101,Md,,258,,,,,1.3,,0,-14.32663431,,,6.58,,,,,,,,0,0,1,1,0,0,1100,0,13,0,2,1,15,18.2,,
102,No,,259,,,,,1.3,,0,-14.32663431,,,6.65,,,,,,,,0,0,1,1,0,0,1100,0,14,0,2,0,16,16.4,,
103,Lr,,262,,,,,,,0,-14.32663431,,,4.9,,,,,,,,0,1,1,1,0,0,1900,0,14,1,2,5,17,,,
104,Rf,,265,,,,,,,0,-14.32663431,,,6,,,,,,,,0,1,0,1,0,0,,2,14,0,2,8,18,,,
105,Db,,268,,,,,,,0,-14.32663431,,,,,,,,,,,0,1,0,1,0,0,,3,14,0,2,7,19,,,
106,Sg,,271,,,,,,,0,-14.32663431,,,,,,,,,,,0,1,0,1,0,0,,4,14,0,2,6,20,,,
107,Bh,,272,,,,,,,0,-14.32663431,,,,,,,,,,,0,1,0,1,0,0,,5,14,0,2,5,21,,,
108,Hs,,270,,,,,,,0,-14.32663431,,,,,,,,,,,0,1,0,1,0,0,,6,14,0,2,4,22,,,
109,Mt,,276,,,,,,,0,-14.32663431,,,,,,,,,,,0,1,0,1,0,0,,7,14,0,2,3,23,,,
110,Ds,,281,,,,,,,0,-14.32663431,,,,,,,,,,,0,1,0,1,0,0,,9,14,0,1,2,24,,,
111,Rg,,280,,,,,,,0,-14.32663431,,,,,,,,,,,0,1,0,1,0,0,,10,14,0,1,1,25,4.06,,
112,Cn,,285,,,,,,,0,-14.32663431,,,,,,,,,,,0,1,0,1,0,0,,10,14,0,2,0,26,,,
,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
